State,10-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60-69歲,70-79歲
台北縣,8.6,18.1,20.3,30.4,13.7,13.4,16.8
宜蘭縣,10.1,13.5,27.7,31.2,12.8,17,12.9
桃園縣,1,24.7,19.6,27.3,28.2,9.7,11.1
新竹縣,4.8,21.9,24.8,30.9,15.2,19.7,6.6
苗栗縣,13.9,26.7,31.5,31.4,19.9,7.2,11.2
台中縣,17,25.6,27,23.7,19.1,24.2,6.2
彰化縣,14,21.3,21.1,15.8,11.4,6.1,6.7
南投縣,13.5,28.1,27.8,23.9,25.7,30.5,10.6
雲林縣,4.9,24.7,19.8,25.7,18.8,8.8,6.4
嘉義縣,0,29.6,29.9,25.8,17.2,11.7,6.7
台南縣,0,9.5,17.7,17,14.9,13,6.3
高雄縣,0.9,24.4,24.5,25.4,10,5.5,15
屏東縣,15.8,20.5,23.2,30.2,5.1,10.2,12.7
台東縣,8.1,29.1,22.9,36,21.5,10.8,14.8
花蓮縣,13.4,22,23.4,27.1,25.7,3.4,13.8
澎湖縣,6.9,11.5,31.5,25.7,16.1,10.7,8.8
基隆市,14.1,17.6,27.2,29.9,16.6,17.8,14.6
新竹市,0,9.6,21.4,35.3,19.1,1.9,11.4
台中市,1,18.3,21.8,19,11.9,13,10.5
嘉義市,2.9,36.8,19.1,14.2,14.3,9.8,2.7
台南市,5.8,10.9,24.4,24.2,21.3,14.6,2.7
金門縣,15,25.5,23.7,20.6,9.9,9.5,11.2
連江縣,20.6,18.4,13.1,26.8,5.9,3.7,18.1
台北市,22.1,9.7,26,15.7,12.7,9.5,11.7
高雄市,2.7,31.8,21.7,31.5,8.1,6,15.8
